assists_round,deaths_round,dmg_round,gnd_dmg_round,hs_percentage,impact,kast,kd_ratio,kills_round,maps_played,player_age,player_country,player_id,player_nick,rating_1,rounds_played,save_team_round,saved_by_round,total_deaths,total_kills
0.11,0.67,78.8,2.5,44.3%,0.98,73.5%,1.2,0.81,4,22,United States,18488,GUADELUPE,1.11,98,0.11,0.11,66,79
0.18,0.72,-,-,45.4%,-,-,1.02,0.73,54,-,Germany,7231,globe,1.03,1384,-,-,993,1010
0.13,0.65,74.5,4.9,34.6%,1.15,70.1%,1.07,0.7,547,32,Australia,2555,yam,1.03,14003,0.09,0.09,9105,9755
0.14,0.71,66.0,3.9,44.1%,0.81,67.2%,0.81,0.57,78,24,Turkey,17024,beyAz,0.9,2056,0.10,0.13,1451,1169
0.03,0.76,48.7,1.1,31.0%,0.56,58.9%,0.62,0.47,4,22,Pakistan,20726,Swaggy,0.65,90,0.11,0.10,68,42
0.13,0.68,69.8,2.8,20.3%,1.07,69.6%,1.02,0.7,3,28,Argentina,12075,lols,1.03,92,0.03,0.07,63,64
0.08,0.68,61.8,3.5,24.0%,0.88,66.3%,0.89,0.6,41,27,India,12898,Recoilmaster,0.91,1074,0.09,0.09,726,645
0.13,0.7,71.0,4.0,51.5%,1.06,66.2%,0.91,0.64,17,-,Singapore,12478,YonG,0.97,462,0.09,0.07,324,295
0.06,0.77,59.6,0.2,48.4%,0.77,59.6%,0.78,0.6,2,21,Croatia,15193,Crackhead,0.8,52,0.12,0.10,40,31
0.16,0.74,75.6,4.0,46.1%,0.88,66.5%,0.86,0.64,17,25,Indonesia,15722,scRiN,0.96,376,0.13,0.11,280,241
0.11,0.77,-,-,50.0%,-,-,0.79,0.6,6,-,Germany,2893,falleN,0.89,146,-,-,112,88
