assists_round,deaths_round,dmg_round,gnd_dmg_round,hs_percentage,impact,kast,kd_ratio,kills_round,maps_played,player_age,player_country,player_id,player_nick,rating_1,rounds_played,save_team_round,saved_by_round,total_deaths,total_kills
0.06,0.8,61.2,1.9,38.3%,0.81,62.1%,0.79,0.63,4,22,United States,17090,n0name,0.81,95,0.17,0.12,76,60
0.22,0.76,-,-,51.6%,-,-,0.74,0.56,2,-,Denmark,8888,razzer,0.78,55,-,-,42,31
0.08,0.67,63.3,3.6,59.6%,0.81,65.3%,0.87,0.59,50,19,Ukraine,19615,muR,0.9,1343,0.09,0.08,905,790
0.12,0.82,78.5,2.2,56.4%,1.04,62.7%,0.86,0.7,9,21,United States,17492,fype,0.95,212,0.11,0.09,174,149
0.03,0.92,44.2,4.0,83.3%,0.51,35.1%,0.35,0.32,2,-,Sweden,15956,tMN,0.43,37,0.08,0.11,34,12
0.14,0.86,70.6,2.0,29.2%,1.15,51.2%,0.65,0.56,2,-,United States,17788,ClOnE,0.84,43,0.02,0.09,37,24
0.14,0.75,69.0,4.6,27.5%,1.31,63.8%,0.87,0.66,4,31,China,16915,NBLiTY,0.99,105,0.10,0.10,79,69
0.11,0.71,66.9,5.0,41.2%,0.72,66.4%,0.83,0.58,35,28,Vietnam,9531,NoMEz,0.83,824,0.10,0.08,581,481
0.0,0.82,-,-,0.0%,-,-,0.73,0.6,2,-,Italy,109,fai,0.81,45,-,-,37,27
0.15,0.73,73.6,3.7,47.4%,0.97,67.4%,0.86,0.62,395,30,United States,1328,flowsicK,0.87,10074,0.08,0.11,7304,6257
0.21,0.83,71.2,3.6,43.9%,0.54,67.6%,0.69,0.58,3,27,United States,14863,PluRO,0.77,71,0.11,0.11,59,41
0.14,0.77,75.3,2.3,59.5%,0.98,65.2%,0.88,0.67,13,23,Sweden,13672,siph,0.96,313,0.11,0.14,240,210
0.13,0.79,-,-,46.7%,-,-,0.67,0.53,14,27,Kyrgyzstan,9444,quacheR,0.71,320,-,-,254,169
0.0,0.65,-,-,29.7%,-,-,1.03,0.67,4,-,Norway,7287,Cals,0.97,96,-,-,62,64
0.09,0.8,-,-,51.1%,-,-,0.6,0.48,4,31,Montenegro,8456,jcR,0.66,98,-,-,78,47
0.14,0.97,72.8,3.1,57.9%,0.64,45.9%,0.53,0.51,2,-,Sweden,5050,FREKKI,0.61,37,0.14,0.03,36,19
0.1,0.76,61.1,2.1,56.9%,0.76,64.1%,0.73,0.56,27,18,United States,17453,stomp,0.81,736,0.08,0.15,562,413
0.12,0.69,79.1,2.7,53.5%,1.05,69.9%,1.07,0.73,206,23,Thailand,16911,JohnOlsen,1.08,5353,0.10,0.08,3671,3932
0.15,0.72,73.4,1.6,45.8%,1.02,68.1%,0.91,0.66,190,28,United States,9195,aKis,0.92,4925,0.10,0.13,3556,3239
0.03,0.7,-,-,31.8%,-,-,0.98,0.69,3,-,Finland,8402,el_miQuel,0.97,64,-,-,45,44
0.15,0.7,73.0,4.9,42.5%,1.08,70.2%,0.95,0.67,20,25,South Africa,16293,ysgerbwd,1.03,480,0.11,0.14,336,320
0.13,0.63,74.0,3.9,24.8%,1.20,67.1%,1.07,0.68,25,24,Brazil,10843,gaabxx,1.09,607,0.08,0.09,384,412
0.11,0.75,63.7,3.0,37.7%,0.84,61.6%,0.76,0.57,49,22,Australia,11790,MC,0.83,1197,0.08,0.11,898,679
0.16,0.73,65.7,2.1,52.5%,0.80,63.3%,0.76,0.56,8,28,Poland,12128,DIOXIDE,0.84,215,0.06,0.12,158,120
0.14,0.66,74.6,5.1,57.4%,0.99,69.9%,1.01,0.67,1370,25,Slovakia,6904,STYKO,1.0,36062,0.09,0.09,23838,24133
0.09,0.77,79.4,2.5,38.9%,1.40,61.7%,1.0,0.77,2,-,Poland,16822,S1ELU,1.08,47,0.09,0.06,36,36
0.16,0.75,82.3,4.4,46.4%,1.04,66.4%,0.92,0.69,5,22,Canada,18625,MASOR,1.02,122,0.12,0.08,91,84
0.13,0.72,77.5,4.9,57.7%,1.03,67.1%,0.99,0.71,27,-,Turkey,19988,AsLanMashadoW,1.02,721,0.10,0.07,520,513
0.13,0.71,72.0,6.4,44.4%,0.96,63.8%,0.94,0.67,4,-,Estonia,16862,frontz,0.95,94,0.09,0.06,67,63
0.15,0.71,72.3,2.6,31.9%,1.02,67.0%,0.94,0.66,17,-,Canada,12709,TheGreatOne,0.99,497,0.10,0.08,351,329
0.08,0.95,54.6,2.4,42.1%,0.97,54.1%,0.54,0.51,2,18,Denmark,13847,Lemmy,0.68,37,0.22,0.16,35,19
0.14,0.71,71.8,2.1,46.2%,0.95,68.3%,0.91,0.65,174,25,Russia,9228,Art,0.92,4676,0.11,0.11,3314,3032
0.16,0.65,71.9,0.6,52.3%,0.91,70.7%,1.02,0.66,4,-,France,13139,Chaka,1.02,99,0.11,0.09,64,65
0.1,0.68,27.5,1.0,60.0%,0.18,50.0%,0.92,0.63,53,-,Turkey,4645,j1n,0.92,1343,0.04,0.04,910,840
0.18,1.0,71.6,3.8,66.7%,0.58,58.8%,0.53,0.53,1,23,United States,19023,captai,0.67,17,0.12,0.00,17,9
0.06,0.69,69.0,4.5,70.5%,0.78,70.8%,0.98,0.68,3,20,Sweden,20410,L9gic,0.98,65,0.20,0.05,45,44
0.16,0.68,82.6,3.6,38.7%,1.13,72.6%,1.05,0.72,113,-,Norway,972,DaY,1.03,2909,0.13,0.10,1983,2088
0.07,0.65,71.6,7.5,42.1%,0.68,63.2%,1.03,0.67,2,-,South Africa,17369,JordanKL,0.92,57,0.11,0.07,37,38
0.11,0.64,68.7,2.5,29.8%,1.04,69.4%,1.04,0.67,468,28,Turkey,7980,DESPE,1.01,12127,0.08,0.08,7748,8068
0.13,0.71,75.6,3.0,36.4%,1.14,67.9%,1.02,0.72,41,27,Iceland,11261,allee,1.05,1062,0.09,0.09,749,761
0.13,0.72,86.4,3.7,63.4%,1.31,68.6%,1.1,0.79,33,24,Norway,13450,Grande,1.16,845,0.08,0.09,606,664
0.06,0.97,33.2,2.8,33.3%,0.09,25.0%,0.1,0.09,2,-,Laos,18380,Xyaba,0.14,32,0.00,0.03,31,3
0.03,0.63,54.7,0.8,64.3%,0.74,56.7%,0.74,0.47,1,24,United States,16585,alec,0.78,30,0.13,0.00,19,14
0.13,0.76,66.8,3.1,55.4%,0.86,65.2%,0.78,0.59,53,25,Argentina,13433,goncho,0.87,1320,0.10,0.09,1001,785
0.13,0.75,77.7,3.3,52.7%,1.05,65.7%,0.91,0.68,336,32,Spain,365,meisoN,0.93,8692,0.08,0.10,6499,5903
0.14,0.68,74.6,3.7,48.5%,0.99,70.7%,0.99,0.67,151,24,United States,13197,Laski,1.04,3886,0.12,0.11,2634,2608
0.06,0.69,78.6,3.5,57.1%,0.93,66.7%,1.04,0.72,3,24,Taiwan,15422,Szuhao,1.03,78,0.04,0.14,54,56
0.11,0.74,94.0,1.4,42.9%,1.28,63.0%,1.05,0.78,1,-,Norway,11147,indale,1.2,27,0.07,0.22,20,21
0.06,0.81,-,-,36.4%,-,-,0.56,0.46,2,-,Serbia,8313,oghama,0.58,48,-,-,39,22
0.1,0.72,61.5,2.1,52.7%,0.72,64.2%,0.79,0.57,19,20,Australia,18358,trippy,0.83,455,0.12,0.10,328,260
0.18,0.73,73.4,5.4,41.9%,1.04,69.6%,0.82,0.6,51,-,United States,9040,dmize,0.84,1273,0.10,0.10,925,759
0.16,0.79,-,-,48.9%,-,-,0.75,0.59,3,-,Germany,9551,silv,0.83,76,-,-,60,45
0.13,0.67,79.3,5.5,44.6%,1.00,69.0%,1.1,0.73,5,22,Latvia,12765,SLY,1.06,126,0.11,0.06,84,92
0.21,0.76,99.8,7.7,46.2%,1.25,69.0%,1.18,0.9,1,27,Finland,1150,osqari,1.21,29,0.21,0.07,22,26
0.17,0.81,-,-,57.9%,-,-,0.4,0.32,3,-,Denmark,3803,BEFFI,0.43,59,-,-,48,19
0.19,0.78,70.3,4.8,53.7%,0.91,61.8%,0.68,0.53,6,-,United States,15837,syanide,0.85,178,0.05,0.09,139,95
0.15,0.67,77.3,5.1,52.6%,0.92,66.7%,1.2,0.81,5,-,Norway,9919,hellfire,1.17,118,0.05,0.13,79,95
0.14,0.74,68.8,2.6,44.0%,0.95,67.2%,0.82,0.61,57,23,Malaysia,15928,Avirity,0.93,1535,0.10,0.11,1143,938
0.11,0.8,63.0,2.3,61.8%,0.65,60.1%,0.64,0.51,6,23,Chile,20603,sybiaNn,0.74,148,0.06,0.10,118,76
0.15,0.7,75.5,2.8,42.4%,1.06,69.7%,0.96,0.68,636,28,Spain,7388,SOKER,0.97,16692,0.11,0.12,11757,11320
0.13,0.74,66.1,1.9,48.2%,0.77,67.5%,0.79,0.59,17,24,United States,18206,saiyo,0.87,431,0.07,0.09,321,255
0.12,0.77,74.8,5.1,43.4%,0.83,70.4%,0.86,0.66,5,27,Vietnam,17701,Homer,0.95,125,0.14,0.14,96,83
0.14,0.68,66.2,4.3,51.1%,0.83,68.4%,0.87,0.59,3,-,Denmark,12768,LS_D,0.93,76,0.08,0.05,52,45
0.1,0.8,35.4,0.4,0.0%,0.32,53.3%,0.46,0.37,1,-,Colombia,19147,hec,0.51,30,0.00,0.03,24,11
0.09,0.8,71.2,5.3,60.7%,1.01,58.2%,0.84,0.67,4,-,Chile,18038,pezetAy,0.9,91,0.14,0.09,73,61
0.12,0.83,-,-,58.1%,-,-,0.7,0.58,16,-,Russia,3159,delm1k,0.75,393,-,-,326,227
0.14,0.76,71.9,3.0,41.9%,1.02,64.2%,0.86,0.65,33,31,Belgium,1544,Llo,0.89,815,0.10,0.12,618,530
0.16,0.72,66.9,5.3,34.1%,0.93,66.4%,0.81,0.58,5,29,Argentina,12077,f3r,0.92,146,0.05,0.09,105,85
0.12,0.77,92.1,2.9,60.5%,1.02,75.6%,1.1,0.84,4,26,United Arab Emirates,20728,ysoof,1.17,90,0.20,0.08,69,76
0.15,0.64,84.5,4.9,44.9%,1.16,73.5%,1.19,0.76,856,21,Brazil,12553,yuurih,1.19,22266,0.11,0.09,14213,16918
0.11,0.76,72.0,3.8,57.9%,0.81,63.2%,0.8,0.61,10,-,Canada,20079,zandy,0.87,250,0.11,0.10,191,152
0.11,0.72,56.2,2.2,52.5%,0.78,54.0%,0.84,0.6,21,-,Denmark,2468,BULI,0.86,499,0.04,0.14,357,299
0.16,0.77,78.1,2.4,45.9%,1.27,72.1%,0.92,0.71,3,22,India,16085,FinisH,1.1,86,0.09,0.07,66,61
0.24,0.61,68.4,4.1,31.0%,0.88,79.4%,0.98,0.6,4,-,United States,2208,rax,1.06,97,0.08,0.15,59,58
0.17,0.7,64.2,1.9,34.3%,0.97,69.9%,0.81,0.57,5,-,Brazil,17502,nut,0.92,123,0.07,0.11,86,70
0.11,0.66,74.4,3.2,39.1%,1.09,71.1%,1.07,0.7,280,22,United States,12937,WolfY,1.09,7444,0.11,0.10,4883,5246
0.12,0.67,73.4,4.1,48.0%,1.02,71.3%,1.01,0.68,30,25,Lebanon,15552,Valak,1.05,801,0.11,0.12,538,544
0.13,0.86,92.1,4.0,59.7%,1.47,61.1%,0.94,0.8,4,19,Paraguay,20615,AKEX,1.09,90,0.18,0.08,77,72
0.15,0.67,79.2,4.8,46.4%,1.11,71.5%,1.07,0.72,626,23,United States,13188,Zellsis,1.11,16210,0.11,0.10,10854,11657
0.11,0.82,65.5,4.0,42.1%,0.74,58.6%,0.65,0.53,10,24,South Africa,15802,scheeR,0.75,227,0.09,0.10,186,121
0.13,0.65,79.3,4.8,51.6%,1.10,73.3%,1.14,0.74,127,17,United States,19846,CLASIA,1.14,3351,0.11,0.10,2187,2492
0.12,0.69,79.5,1.1,39.4%,1.29,64.2%,1.07,0.74,7,28,Portugal,19864,dance,1.11,179,0.13,0.12,123,132
0.12,1.0,42.9,0.0,50.0%,0.36,27.3%,0.24,0.24,2,-,Colombia,14656,GamerColombiano,0.28,33,0.06,0.03,33,8
0.08,0.73,-,-,30.2%,-,-,0.78,0.57,4,-,Andorra,7916,ELGUAJE,0.79,111,-,-,81,63
0.1,0.69,69.5,1.0,33.7%,1.06,68.8%,0.99,0.68,27,19,Ukraine,19913,Ganginho,1.02,736,0.10,0.09,506,502
0.13,0.87,-,-,54.5%,-,-,0.32,0.28,2,-,Spain,10318,DeViL,0.34,39,-,-,34,11
0.14,0.88,-,-,33.3%,-,-,0.65,0.57,2,-,Andorra,7919,Ivan,0.77,42,-,-,37,24
0.11,0.73,66.0,4.3,49.4%,0.85,65.1%,0.8,0.59,89,22,Australia,18356,rewind,0.88,2169,0.11,0.11,1581,1269
0.09,0.8,69.7,2.2,59.6%,0.78,57.7%,0.73,0.59,4,-,Brazil,16660,bokh,0.78,97,0.12,0.10,78,57
0.05,0.84,63.4,4.2,40.9%,0.75,63.2%,0.69,0.58,2,-,Brazil,17288,izaa,0.78,38,0.18,0.13,32,22
0.12,0.67,72.8,3.1,52.3%,0.98,70.2%,1.01,0.67,361,23,Denmark,11257,Celrate,1.03,9660,0.13,0.11,6433,6490
0.14,0.75,68.2,2.9,46.2%,0.89,67.0%,0.78,0.58,27,-,China,12352,dandaowang,0.89,696,0.07,0.12,523,407
0.01,0.92,53.1,0.2,58.8%,0.56,41.9%,0.5,0.46,4,29,Turkmenistan,16233,Ches,0.48,74,0.07,0.03,68,34
0.16,0.76,72.9,6.5,38.1%,0.85,70.6%,0.81,0.62,11,-,Denmark,8898,trumaN,0.87,271,0.05,0.09,207,168
0.15,0.68,80.5,4.4,36.5%,1.00,73.6%,1.07,0.72,4,-,Canada,11067,deriquo,1.1,87,0.15,0.14,59,63
0.11,0.75,69.4,0.6,17.9%,1.37,59.5%,0.95,0.71,3,26,Brazil,11752,ShutAsY,1.01,79,0.06,0.09,59,56
0.12,0.73,63.2,7.6,39.5%,0.70,57.5%,0.72,0.52,3,-,Germany,15986,minus,0.76,73,0.08,0.15,53,38
0.17,0.66,81.7,6.6,44.7%,0.98,74.6%,1.09,0.72,8,24,Saudi Arabia,17069,LEETROY,1.12,236,0.13,0.09,156,170
0.16,0.67,66.8,4.4,49.0%,0.80,70.9%,0.92,0.62,16,-,Spain,10031,cristian,0.9,419,0.11,0.15,281,259
0.12,0.73,-,-,26.5%,-,-,0.93,0.67,13,-,Germany,7717,mars1,0.92,313,-,-,228,211
0.14,0.65,70.7,6.6,50.2%,0.92,69.9%,0.96,0.62,356,22,Poland,15697,Sidney,1.0,9611,0.10,0.10,6257,6003
0.11,0.89,66.5,2.6,55.3%,0.64,54.9%,0.6,0.54,3,20,Philippines,19628,craigy,0.68,71,0.14,0.13,63,38
0.17,0.73,61.3,1.7,36.4%,0.81,69.5%,0.73,0.54,3,-,United States,15254,poisinmunkee,0.87,82,0.13,0.15,60,44
0.14,0.7,64.4,4.5,48.7%,0.80,66.8%,0.78,0.55,1578,29,Denmark,7415,HUNDEN,0.81,41153,0.09,0.11,28708,22470
0.0,0.79,56.9,2.4,33.3%,0.72,42.9%,0.68,0.54,1,-,Canada,15238,MNZ,0.64,28,0.04,0.07,22,15
0.12,0.74,67.3,4.8,54.8%,0.75,63.8%,0.82,0.61,3,-,Philippines,17718,JED,0.85,69,0.09,0.14,51,42
0.06,0.82,71.1,2.1,41.2%,0.79,61.2%,0.85,0.69,2,-,Tunisia,13009,Fyrr,0.83,49,0.04,0.08,40,34
0.17,0.73,59.2,2.1,43.0%,0.64,68.0%,0.68,0.49,10,30,Malaysia,15931,seqmyztery,0.8,259,0.09,0.11,189,128
0.08,0.67,77.1,2.5,49.7%,0.98,70.1%,1.07,0.72,8,23,Kazakhstan,18103,Arcelo,1.06,221,0.12,0.08,149,159
0.12,0.68,76.1,3.8,42.2%,1.06,64.9%,1.03,0.7,15,24,Sweden,13203,Pishila,1.02,382,0.09,0.08,261,268
0.13,0.61,70.8,4.2,46.5%,0.89,72.3%,1.03,0.63,520,21,Russia,16947,Perfecto,1.03,13713,0.09,0.09,8431,8667
0.11,0.75,78.5,2.5,50.0%,0.86,66.2%,0.9,0.68,3,22,Argentina,19871,stah,0.96,65,0.06,0.12,49,44
0.14,0.74,73.4,2.5,43.2%,0.89,68.4%,0.88,0.65,24,24,Lebanon,16197,mtL,0.95,624,0.09,0.11,464,407
0.09,0.72,62.6,4.3,50.0%,0.66,68.6%,0.84,0.6,3,25,Australia,18306,suMfectz,0.86,86,0.15,0.12,62,52
0.17,0.88,-,-,52.6%,-,-,0.54,0.47,2,27,South Africa,9313,RelliKZ,0.56,40,-,-,35,19
0.04,0.76,61.6,2.4,55.2%,0.74,55.6%,0.85,0.64,2,23,Thailand,19612,Fayce,0.79,45,0.11,0.02,34,29
0.0,0.83,-,-,47.7%,-,-,0.61,0.51,4,-,Belgium,7601,Sad,0.66,87,-,-,72,44
0.11,0.67,74.8,1.5,53.4%,1.03,70.2%,1.07,0.72,22,19,Indonesia,14919,Histoire,1.07,541,0.12,0.13,361,388
0.03,0.92,31.4,4.8,50.0%,0.06,30.6%,0.24,0.22,2,22,Serbia,19788,k1lla,0.21,36,0.03,0.06,33,8
0.14,0.72,70.4,2.8,41.7%,0.93,64.4%,0.9,0.64,5,-,Russia,6078,Dect,0.94,149,0.06,0.10,107,96
0.12,0.67,74.3,2.7,51.7%,1.00,70.7%,1.03,0.69,1370,26,Poland,8242,reatz,1.01,36791,0.10,0.10,24661,25447
0.14,0.72,71.4,2.4,40.9%,0.96,66.9%,0.9,0.65,333,27,France,8372,matHEND,0.92,8606,0.08,0.10,6204,5575
0.13,0.73,-,-,52.5%,-,-,0.81,0.59,11,-,Serbia,2475,shok1ca,0.85,266,-,-,194,158
0.12,0.75,59.4,3.1,34.8%,0.58,66.7%,0.61,0.45,2,20,Portugal,19656,ShooleRb0b,0.75,51,0.16,0.08,38,23
0.12,0.72,75.8,4.8,57.0%,1.02,64.7%,0.96,0.69,27,19,Australia,19181,Zuko,0.99,666,0.11,0.09,479,460
0.17,0.75,69.1,6.6,35.1%,0.73,63.6%,0.71,0.53,8,29,Mexico,16115,Espartana,0.82,214,0.03,0.05,161,114
0.19,0.77,71.0,3.7,41.2%,1.40,61.5%,0.85,0.65,1,24,New Zealand,14330,jkr,1.03,26,0.12,0.08,20,17
0.14,0.67,74.3,4.3,49.1%,0.99,70.7%,0.99,0.67,348,24,Russia,14055,propleh,1.03,9290,0.11,0.10,6269,6192
0.13,0.7,88.3,4.8,42.6%,1.37,70.0%,1.15,0.81,10,23,Myanmar,17894,bayet,1.2,243,0.11,0.09,171,197
0.12,0.78,65.6,1.3,48.7%,0.77,58.8%,0.74,0.57,3,19,United States,17480,Bice,0.78,68,0.12,0.15,53,39
0.11,0.75,66.1,3.3,56.2%,0.84,65.9%,0.79,0.59,9,19,South Africa,18925,Zeinyh,0.87,220,0.11,0.10,164,130
0.12,0.69,77.0,3.0,46.8%,1.11,69.1%,1.06,0.73,101,22,Australia,16229,oliff,1.08,2671,0.10,0.09,1839,1942
0.12,0.79,65.3,2.3,28.5%,0.85,50.9%,0.71,0.56,22,-,Germany,7301,MoRs.na,0.77,508,0.08,0.07,402,284
0.1,0.72,70.7,2.0,42.1%,1.09,64.1%,0.93,0.67,40,23,United States,18424,AtomiK,0.98,1017,0.09,0.10,734,679
0.15,0.73,-,-,59.1%,-,-,0.93,0.67,5,-,Denmark,8820,mAt,0.97,131,-,-,95,88
0.14,0.75,-,-,41.4%,-,-,0.8,0.59,5,-,Poland,305,dOK,0.84,118,-,-,88,70
0.12,0.92,50.7,0.0,55.6%,0.56,42.3%,0.38,0.35,1,30,Mongolia,12627,Achellis,0.47,26,0.04,0.12,24,9
0.13,0.83,60.1,4.4,47.7%,0.69,65.3%,0.56,0.46,4,-,United States,20976,1goon,0.74,95,0.13,0.12,79,44
0.11,0.91,74.2,2.0,68.0%,0.71,50.0%,0.62,0.57,2,27,Turkey,14180,jxLs,0.71,44,0.09,0.05,40,25
0.14,0.7,-,-,51.3%,-,-,0.81,0.57,3,-,China,8069,d1o,0.82,69,-,-,48,39
0.16,0.66,76.1,6.4,40.4%,1.01,71.3%,1.01,0.67,1032,23,Russia,11498,NickelBack,1.06,27479,0.10,0.10,18261,18376
0.12,0.72,68.4,3.1,28.7%,1.05,63.6%,0.88,0.64,8,21,Brazil,20759,pigo,0.95,214,0.06,0.10,154,136
0.17,0.75,71.9,3.0,52.7%,0.80,66.6%,0.79,0.59,14,-,Denmark,10964,madsztw,0.89,350,0.08,0.13,261,207
0.08,0.88,57.4,0.5,55.3%,0.63,48.7%,0.55,0.49,4,-,Denmark,13844,azyN,0.62,78,0.08,0.10,69,38
0.15,0.67,80.6,3.9,43.6%,1.17,71.3%,1.09,0.73,196,25,Korea,11539,Jinx,1.13,5038,0.12,0.10,3367,3666
0.12,0.78,63.3,2.7,43.8%,0.72,61.2%,0.71,0.55,55,23,New Zealand,19643,Habbo Hotel,0.78,1336,0.11,0.11,1042,737
0.14,0.75,65.8,4.2,47.8%,0.77,64.4%,0.78,0.59,33,-,Italy,9753,simozor,0.84,857,0.09,0.09,646,506
0.13,0.72,73.1,2.7,49.2%,0.96,65.1%,0.87,0.63,114,27,Russia,7404,insom,0.9,2911,0.09,0.09,2104,1835
0.16,0.77,71.4,1.7,33.3%,0.83,66.3%,0.78,0.6,7,29,Poland,12351,mSr,0.91,196,0.11,0.12,150,117
0.09,0.72,65.9,3.9,58.2%,0.62,64.0%,0.79,0.57,6,21,Ukraine,12028,sunrise,0.84,139,0.07,0.12,100,79
0.2,0.82,61.4,0.1,46.7%,0.75,71.2%,0.56,0.45,3,19,Belarus,15486,kAAArp1,0.82,66,0.06,0.14,54,30
0.21,0.83,76.6,4.0,52.4%,0.78,66.2%,0.71,0.59,6,-,China,12354,Luker,0.85,139,0.12,0.06,115,82
0.11,0.75,82.0,6.8,52.3%,1.21,72.5%,1.09,0.82,5,-,Brazil,17331,tezay,1.13,131,0.11,0.13,98,107
0.12,0.71,76.8,2.2,40.3%,1.13,68.1%,1.03,0.73,45,26,Greece,9557,feelix,1.03,1113,0.11,0.11,785,809
0.13,0.63,-,-,51.9%,-,-,1.21,0.76,3,-,United States,10011,HEMI,1.05,68,-,-,43,52
0.11,0.66,72.3,1.2,62.8%,1.25,68.6%,0.93,0.61,2,23,Australia,11788,baileyk1d,1.07,70,0.07,0.04,46,43
0.12,0.73,70.3,3.6,46.0%,1.02,65.2%,0.87,0.64,38,24,Czech Republic,19594,noobiq,0.95,1009,0.09,0.10,740,643
0.13,0.81,74.1,3.1,55.4%,0.91,60.1%,0.77,0.62,16,18,Romania,19167,smekk-,0.86,406,0.12,0.08,327,251
0.12,0.8,84.4,5.4,50.0%,1.07,73.4%,0.82,0.66,3,26,Germany,14263,R0BINH00D,1.06,64,0.05,0.05,51,42
0.08,0.71,59.7,0.0,47.6%,0.83,57.9%,0.78,0.55,1,22,Russia,11895,b3AaSt,0.8,38,0.05,0.03,27,21
0.11,0.66,71.6,5.3,34.8%,0.93,70.5%,0.95,0.63,11,-,Denmark,8867,AnageR,0.93,297,0.19,0.07,196,187
0.12,0.81,61.9,3.2,59.5%,0.70,64.1%,0.63,0.51,5,22,Brazil,20027,suNday,0.78,145,0.08,0.09,117,74
0.22,0.59,-,-,31.7%,-,-,1.52,0.89,2,-,China,10303,splatt,1.35,46,-,-,27,41
0.11,0.7,75.5,1.1,55.6%,1.05,67.2%,1.02,0.71,22,22,Vietnam,19444,frostLi,1.05,564,0.12,0.11,392,399
0.13,0.7,78.3,2.1,47.3%,1.09,66.7%,1.0,0.7,36,-,Colombia,13040,nezzi,1.05,868,0.09,0.10,609,609
0.07,0.68,-,-,22.9%,-,-,1.13,0.77,4,-,France,8720,kOLBATh,1.08,91,-,-,62,70
0.11,0.81,64.8,1.1,46.2%,0.65,74.1%,0.59,0.48,1,-,United States,16895,observe,0.82,27,0.07,0.26,22,13
0.13,0.86,58.1,2.2,33.3%,0.55,57.9%,0.56,0.48,6,22,United States,14833,General,0.65,126,0.12,0.06,108,60
0.12,0.73,-,-,50.0%,-,-,0.96,0.7,5,-,Denmark,7636,bubbi,0.95,129,-,-,94,90
0.13,0.73,68.2,3.6,34.5%,0.88,64.8%,0.83,0.6,38,31,Peru,14556,artemio,0.9,921,0.10,0.08,670,553
0.13,0.73,70.0,3.5,45.1%,0.79,66.5%,0.83,0.6,20,20,Philippines,19332,KAKAROT,0.9,505,0.11,0.11,367,304
0.12,0.7,67.8,2.4,49.0%,0.88,68.1%,0.87,0.61,28,27,Poland,14476,fines,0.93,780,0.08,0.08,549,478
0.14,0.71,66.0,4.5,43.8%,0.81,65.3%,0.84,0.6,51,-,Poland,9611,mrtn,0.85,1338,0.11,0.11,944,797
0.1,0.93,46.2,0.7,41.2%,0.56,50.0%,0.44,0.4,2,-,Brazil,17346,cJORDANO,0.51,42,0.05,0.12,39,17
0.14,0.71,62.8,4.3,46.2%,0.79,64.6%,0.74,0.52,60,23,United States,18432,dvl,0.84,1589,0.09,0.12,1132,833
0.05,0.76,-,-,47.2%,-,-,0.91,0.7,4,-,Czech Republic,7754,kApsiken,0.95,76,-,-,58,53
0.1,0.83,43.5,6.7,40.7%,0.52,52.1%,0.46,0.38,3,19,Russia,19961,Nosik,0.56,71,0.06,0.10,59,27
0.14,0.78,-,-,47.1%,-,-,0.85,0.67,2,-,Sweden,9183,SWINK,0.9,51,-,-,40,34
0.25,0.7,83.1,3.0,28.6%,1.08,68.3%,0.95,0.67,2,-,China,15405,1212,1.06,63,0.08,0.14,44,42
0.12,0.71,66.2,3.3,49.0%,0.82,65.4%,0.8,0.56,66,30,Brazil,5738,rikz,0.87,1748,0.08,0.09,1240,987
0.2,0.7,71.7,9.0,41.1%,0.89,65.9%,0.82,0.57,10,-,Sweden,11256,flex,0.92,276,0.14,0.09,192,158
0.14,0.71,73.0,4.1,44.1%,1.05,65.7%,0.91,0.65,54,21,Slovakia,12806,jaro,0.97,1493,0.06,0.09,1066,966
0.12,0.69,61.5,2.7,54.8%,0.72,58.6%,0.88,0.61,31,-,United Kingdom,8979,Peggyyyyy,0.9,741,0.11,0.10,510,449
0.08,0.78,81.4,1.6,32.4%,1.25,54.0%,0.95,0.74,2,32,South Africa,19545,JayS,0.99,50,0.14,0.02,39,37
0.15,0.73,73.0,3.8,48.4%,1.00,67.0%,0.89,0.65,67,30,Kazakhstan,8728,dreaM,0.93,1777,0.08,0.11,1298,1160
0.02,0.8,82.9,4.0,43.3%,0.93,58.5%,0.91,0.73,2,-,Chile,12401,mn,0.93,41,0.12,0.05,33,30
0.07,0.86,73.8,5.5,60.7%,0.80,66.7%,0.78,0.67,2,22,Czech Republic,16431,fear,0.84,42,0.12,0.07,36,28
0.19,0.66,-,-,50.0%,-,-,0.83,0.55,6,-,Czech Republic,5291,berry,0.82,156,-,-,103,86
0.14,0.76,-,-,14.2%,-,-,0.73,0.56,9,-,Germany,7258,tomo,0.77,216,-,-,164,120
0.11,0.75,64.6,5.6,42.2%,0.89,63.4%,0.74,0.56,6,-,Sweden,13142,CrasheR,0.86,183,0.10,0.11,137,102
0.12,0.77,62.9,1.8,60.6%,0.81,65.7%,0.75,0.58,7,20,Vietnam,19950,Jerry,0.85,172,0.07,0.11,132,99
0.11,0.86,64.0,2.8,55.6%,0.50,40.9%,0.47,0.41,2,23,Australia,18765,joy,0.54,44,0.00,0.18,38,18
0.1,0.68,63.8,2.0,28.9%,0.85,67.1%,0.88,0.6,17,25,Indonesia,10767,Tsukamoto,0.91,410,0.10,0.12,280,246
0.13,0.61,63.7,4.9,48.3%,0.79,74.7%,0.92,0.56,6,20,India,12907,Hoax,0.97,158,0.11,0.09,97,89
0.13,0.67,75.2,4.2,51.2%,1.03,72.0%,1.05,0.7,329,19,Thailand,15109,Niffy,1.07,8451,0.13,0.11,5623,5908
