team_id,team,map,win_percentage,n_map
10947,Rhyno,Cache,0.0,0
10947,Rhyno,Season,0.0,0
10947,Rhyno,Train_ve,0.0,0
10947,Rhyno,Mirage_ce,0.0,0
10947,Rhyno,Inferno_se,0.0,0
10947,Rhyno,Nuke_se,0.0,0
10947,Rhyno,Dust2_se,0.0,0
10947,Rhyno,Train_se,0.0,0
10947,Rhyno,Mill_ce,0.0,0
10947,Rhyno,Dust_se,0.0,0
5378,Virtus.pro,Overpass,50.57471264367817,174
5378,Virtus.pro,Inferno,51.83946488294314,299
5378,Virtus.pro,Mirage,57.960199004975124,402
5378,Virtus.pro,Vertigo,44.44444444444444,54
5378,Virtus.pro,Nuke,58.94039735099338,151
5378,Virtus.pro,Dust2,50.609756097560975,164
5378,Virtus.pro,Train,50.85324232081911,293
5378,Virtus.pro,Ancient,0.0,0
5378,Virtus.pro,Tuscan,0.0,0
5378,Virtus.pro,Cobblestone,57.324840764331206,157
5378,Virtus.pro,Cache,52.358490566037744,212
5378,Virtus.pro,Season,58.333333333333336,12
5378,Virtus.pro,Train_ve,0.0,0
5378,Virtus.pro,Mirage_ce,0.0,0
5378,Virtus.pro,Inferno_se,0.0,0
5378,Virtus.pro,Nuke_se,0.0,0
5378,Virtus.pro,Dust2_se,0.0,0
5378,Virtus.pro,Train_se,0.0,0
5378,Virtus.pro,Mill_ce,0.0,0
5378,Virtus.pro,Dust_se,0.0,0
6665,Astralis,Overpass,65.36312849162012,179
6665,Astralis,Inferno,74.02597402597402,231
6665,Astralis,Mirage,69.23076923076923,130
6665,Astralis,Vertigo,67.44186046511628,43
6665,Astralis,Nuke,70.73170731707317,164
6665,Astralis,Dust2,63.758389261744966,149
6665,Astralis,Train,63.74999999999999,160
6665,Astralis,Ancient,0.0,0
6665,Astralis,Tuscan,0.0,0
6665,Astralis,Cobblestone,20.0,10
6665,Astralis,Cache,59.25925925925925,54
6665,Astralis,Season,0.0,0
6665,Astralis,Train_ve,0.0,0
6665,Astralis,Mirage_ce,0.0,0
6665,Astralis,Inferno_se,0.0,0
6665,Astralis,Nuke_se,0.0,0
6665,Astralis,Dust2_se,0.0,0
6665,Astralis,Train_se,0.0,0
6665,Astralis,Mill_ce,0.0,0
6665,Astralis,Dust_se,0.0,0
7532,BIG,Overpass,49.60629921259843,127
7532,BIG,Inferno,53.42465753424658,146
7532,BIG,Mirage,60.13986013986013,143
7532,BIG,Vertigo,63.04347826086957,46
7532,BIG,Nuke,52.94117647058824,119
7532,BIG,Dust2,64.1025641025641,156
7532,BIG,Train,51.81818181818182,110
7532,BIG,Ancient,0.0,0
7532,BIG,Tuscan,0.0,0
7532,BIG,Cobblestone,57.89473684210527,57
7532,BIG,Cache,56.16438356164384,73
7532,BIG,Season,0.0,0
7532,BIG,Train_ve,0.0,0
7532,BIG,Mirage_ce,0.0,0
7532,BIG,Inferno_se,0.0,0
7532,BIG,Nuke_se,0.0,0
7532,BIG,Dust2_se,0.0,0
7532,BIG,Train_se,0.0,0
7532,BIG,Mill_ce,0.0,0
7532,BIG,Dust_se,0.0,0
8813,Illuminar,Overpass,53.44827586206896,58
8813,Illuminar,Inferno,47.05882352941176,34
8813,Illuminar,Mirage,53.57142857142857,84
8813,Illuminar,Vertigo,52.94117647058824,68
8813,Illuminar,Nuke,55.952380952380956,84
8813,Illuminar,Dust2,38.70967741935484,31
8813,Illuminar,Train,53.333333333333336,75
8813,Illuminar,Ancient,0.0,0
8813,Illuminar,Tuscan,0.0,0
8813,Illuminar,Cobblestone,0.0,0
8813,Illuminar,Cache,0.0,2
8813,Illuminar,Season,0.0,0
8813,Illuminar,Train_ve,0.0,0
8813,Illuminar,Mirage_ce,0.0,0
8813,Illuminar,Inferno_se,0.0,0
8813,Illuminar,Nuke_se,0.0,0
8813,Illuminar,Dust2_se,0.0,0
8813,Illuminar,Train_se,0.0,0
8813,Illuminar,Mill_ce,0.0,0
8813,Illuminar,Dust_se,0.0,0
8248,PACT,Overpass,35.61643835616438,73
8248,PACT,Inferno,47.72727272727273,132
8248,PACT,Mirage,39.285714285714285,56
8248,PACT,Vertigo,50.0,62
8248,PACT,Nuke,51.8796992481203,133
8248,PACT,Dust2,46.06741573033708,89
8248,PACT,Train,45.73643410852713,129
8248,PACT,Ancient,0.0,0
8248,PACT,Tuscan,0.0,0
8248,PACT,Cobblestone,60.0,5
8248,PACT,Cache,53.333333333333336,15
8248,PACT,Season,0.0,0
8248,PACT,Train_ve,0.0,0
8248,PACT,Mirage_ce,0.0,0
8248,PACT,Inferno_se,0.0,0
8248,PACT,Nuke_se,0.0,0
8248,PACT,Dust2_se,0.0,0
8248,PACT,Train_se,0.0,0
8248,PACT,Mill_ce,0.0,0
8248,PACT,Dust_se,0.0,0
10943,777,Overpass,50.0,8
10943,777,Inferno,0.0,0
10943,777,Mirage,60.0,10
10943,777,Vertigo,50.0,2
10943,777,Nuke,20.0,5
10943,777,Dust2,40.0,5
10943,777,Train,0.0,2
10943,777,Ancient,0.0,0
10943,777,Tuscan,0.0,0
10943,777,Cobblestone,0.0,0
10943,777,Cache,0.0,0
10943,777,Season,0.0,0
10943,777,Train_ve,0.0,0
10943,777,Mirage_ce,0.0,0
10943,777,Inferno_se,0.0,0
10943,777,Nuke_se,0.0,0
10943,777,Dust2_se,0.0,0
10943,777,Train_se,0.0,0
10943,777,Mill_ce,0.0,0
10943,777,Dust_se,0.0,0
9806,Apeks,Overpass,53.42465753424658,73
9806,Apeks,Inferno,57.89473684210527,38
9806,Apeks,Mirage,41.17647058823529,68
9806,Apeks,Vertigo,50.0,50
9806,Apeks,Nuke,37.254901960784316,51
9806,Apeks,Dust2,46.15384615384615,65
9806,Apeks,Train,40.0,30
9806,Apeks,Ancient,0.0,0
9806,Apeks,Tuscan,0.0,0
9806,Apeks,Cobblestone,0.0,0
9806,Apeks,Cache,0.0,0
9806,Apeks,Season,0.0,0
9806,Apeks,Train_ve,0.0,0
9806,Apeks,Mirage_ce,0.0,0
9806,Apeks,Inferno_se,0.0,0
9806,Apeks,Nuke_se,0.0,0
9806,Apeks,Dust2_se,0.0,0
9806,Apeks,Train_se,0.0,0
9806,Apeks,Mill_ce,0.0,0
9806,Apeks,Dust_se,0.0,0
11113,AVE,Overpass,0.0,2
11113,AVE,Inferno,75.0,4
11113,AVE,Mirage,0.0,2
11113,AVE,Vertigo,0.0,0
11113,AVE,Nuke,0.0,1
11113,AVE,Dust2,0.0,2
11113,AVE,Train,66.66666666666666,3
11113,AVE,Ancient,0.0,0
11113,AVE,Tuscan,0.0,0
11113,AVE,Cobblestone,0.0,0
11113,AVE,Cache,0.0,0
11113,AVE,Season,0.0,0
11113,AVE,Train_ve,0.0,0
11113,AVE,Mirage_ce,0.0,0
11113,AVE,Inferno_se,0.0,0
11113,AVE,Nuke_se,0.0,0
11113,AVE,Dust2_se,0.0,0
11113,AVE,Train_se,0.0,0
11113,AVE,Mill_ce,0.0,0
11113,AVE,Dust_se,0.0,0
7969,Nemiga,Overpass,51.127819548872175,133
7969,Nemiga,Inferno,58.26086956521739,230
7969,Nemiga,Mirage,52.94117647058824,221
7969,Nemiga,Vertigo,49.23076923076923,65
7969,Nemiga,Nuke,53.691275167785236,149
7969,Nemiga,Dust2,51.181102362204726,127
7969,Nemiga,Train,39.39393939393939,66
7969,Nemiga,Ancient,0.0,0
7969,Nemiga,Tuscan,0.0,0
7969,Nemiga,Cobblestone,43.24324324324324,37
7969,Nemiga,Cache,33.33333333333333,3
7969,Nemiga,Season,0.0,0
7969,Nemiga,Train_ve,0.0,0
7969,Nemiga,Mirage_ce,0.0,0
7969,Nemiga,Inferno_se,0.0,0
7969,Nemiga,Nuke_se,0.0,0
7969,Nemiga,Dust2_se,0.0,0
7969,Nemiga,Train_se,0.0,0
7969,Nemiga,Mill_ce,0.0,0
7969,Nemiga,Dust_se,0.0,0
4674,LDLC,Overpass,53.04878048780488,164
4674,LDLC,Inferno,57.786885245901644,244
4674,LDLC,Mirage,37.81512605042017,119
4674,LDLC,Vertigo,45.0,40
4674,LDLC,Nuke,54.22885572139303,201
4674,LDLC,Dust2,64.90384615384616,208
4674,LDLC,Train,48.24561403508772,114
4674,LDLC,Ancient,0.0,0
4674,LDLC,Tuscan,0.0,0
4674,LDLC,Cobblestone,52.63157894736842,57
4674,LDLC,Cache,49.557522123893804,113
4674,LDLC,Season,66.66666666666666,3
4674,LDLC,Train_ve,0.0,0
4674,LDLC,Mirage_ce,55.00000000000001,20
4674,LDLC,Inferno_se,72.22222222222221,18
4674,LDLC,Nuke_se,60.0,20
4674,LDLC,Dust2_se,0.0,0
4674,LDLC,Train_se,60.0,5
4674,LDLC,Mill_ce,0.0,0
4674,LDLC,Dust_se,0.0,0
8637,Sprout,Overpass,45.09803921568628,51
8637,Sprout,Inferno,56.91489361702128,188
8637,Sprout,Mirage,55.81395348837209,215
8637,Sprout,Vertigo,56.14035087719298,57
8637,Sprout,Nuke,64.3312101910828,157
8637,Sprout,Dust2,61.5819209039548,177
8637,Sprout,Train,54.11764705882353,170
8637,Sprout,Ancient,0.0,0
8637,Sprout,Tuscan,0.0,0
8637,Sprout,Cobblestone,69.56521739130434,23
8637,Sprout,Cache,51.28205128205128,39
8637,Sprout,Season,0.0,0
8637,Sprout,Train_ve,0.0,0
8637,Sprout,Mirage_ce,0.0,0
8637,Sprout,Inferno_se,0.0,0
8637,Sprout,Nuke_se,0.0,0
8637,Sprout,Dust2_se,0.0,0
8637,Sprout,Train_se,0.0,0
8637,Sprout,Mill_ce,0.0,0
8637,Sprout,Dust_se,0.0,0
11103,19CM GANG,Overpass,100.0,1
11103,19CM GANG,Inferno,0.0,1
11103,19CM GANG,Mirage,100.0,2
11103,19CM GANG,Vertigo,0.0,0
11103,19CM GANG,Nuke,0.0,1
11103,19CM GANG,Dust2,0.0,0
11103,19CM GANG,Train,0.0,0
11103,19CM GANG,Ancient,0.0,0
11103,19CM GANG,Tuscan,0.0,0
11103,19CM GANG,Cobblestone,0.0,0
11103,19CM GANG,Cache,0.0,0
11103,19CM GANG,Season,0.0,0
11103,19CM GANG,Train_ve,0.0,0
11103,19CM GANG,Mirage_ce,0.0,0
11103,19CM GANG,Inferno_se,0.0,0
11103,19CM GANG,Nuke_se,0.0,0
11103,19CM GANG,Dust2_se,0.0,0
11103,19CM GANG,Train_se,0.0,0
11103,19CM GANG,Mill_ce,0.0,0
11103,19CM GANG,Dust_se,0.0,0
11154,ex-Marlian,Overpass,0.0,1
11154,ex-Marlian,Inferno,100.0,1
11154,ex-Marlian,Mirage,33.33333333333333,3
11154,ex-Marlian,Vertigo,0.0,0
11154,ex-Marlian,Nuke,100.0,3
11154,ex-Marlian,Dust2,0.0,1
11154,ex-Marlian,Train,100.0,1
11154,ex-Marlian,Ancient,0.0,0
11154,ex-Marlian,Tuscan,0.0,0
11154,ex-Marlian,Cobblestone,0.0,0
11154,ex-Marlian,Cache,0.0,0
11154,ex-Marlian,Season,0.0,0
11154,ex-Marlian,Train_ve,0.0,0
11154,ex-Marlian,Mirage_ce,0.0,0
11154,ex-Marlian,Inferno_se,0.0,0
11154,ex-Marlian,Nuke_se,0.0,0
11154,ex-Marlian,Dust2_se,0.0,0
11154,ex-Marlian,Train_se,0.0,0
11154,ex-Marlian,Mill_ce,0.0,0
11154,ex-Marlian,Dust_se,0.0,0
11148,Akuma,Overpass,33.33333333333333,3
11148,Akuma,Inferno,100.0,3
11148,Akuma,Mirage,66.66666666666666,9
11148,Akuma,Vertigo,50.0,2
11148,Akuma,Nuke,0.0,1
11148,Akuma,Dust2,100.0,4
11148,Akuma,Train,100.0,1
11148,Akuma,Ancient,0.0,0
11148,Akuma,Tuscan,0.0,0
11148,Akuma,Cobblestone,0.0,0
11148,Akuma,Cache,0.0,0
11148,Akuma,Season,0.0,0
11148,Akuma,Train_ve,0.0,0
11148,Akuma,Mirage_ce,0.0,0
11148,Akuma,Inferno_se,0.0,0
11148,Akuma,Nuke_se,0.0,0
11148,Akuma,Dust2_se,0.0,0
11148,Akuma,Train_se,0.0,0
11148,Akuma,Mill_ce,0.0,0
11148,Akuma,Dust_se,0.0,0
8276,calm,Overpass,0.0,1
8276,calm,Inferno,0.0,1
8276,calm,Mirage,0.0,0
8276,calm,Vertigo,0.0,0
8276,calm,Nuke,0.0,0
8276,calm,Dust2,0.0,0
8276,calm,Train,0.0,0
8276,calm,Ancient,0.0,0
8276,calm,Tuscan,0.0,0
8276,calm,Cobblestone,0.0,0
8276,calm,Cache,0.0,0
8276,calm,Season,0.0,0
8276,calm,Train_ve,0.0,0
8276,calm,Mirage_ce,0.0,0
8276,calm,Inferno_se,0.0,0
8276,calm,Nuke_se,0.0,0
8276,calm,Dust2_se,0.0,0
8276,calm,Train_se,0.0,0
8276,calm,Mill_ce,0.0,0
8276,calm,Dust_se,0.0,0
